opportunity_id,account_name,region,industry,owner,lead_source,stage,amount,created_date,close_date,is_closed,is_won,notes
OPP-1182,Cobalt Group,NA,Manufacturing,B. Singh,Event,Prospecting,73161,2025-11-20,2025-04-26,False,False,"Renewal likely, happy with support."
OPP-1183,Atlas Group,NA,Manufacturing,B. Singh,Outbound,Closed Lost,118480,2024-04-07,2026-04-23,True,False,Waiting on legal review of MSA.
OPP-1184,Pinnacle Systems,LATAM,Manufacturing,A. Rao,Partner,Closed Won,119471,2025-08-18,2026-05-12,True,True,Waiting on legal review of MSA.
OPP-1185,Acme Labs,APAC,Retail,E. Shah,Outbound,Closed Lost,5304,2025-06-14,2025-12-05,True,False,Price too high vs competitor Vega.
OPP-1186,Zenith Labs,APAC,Finance,D. Patel,Partner,Qualification,40333,2024-06-08,2025-08-18,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1187,Zenith Labs,EMEA,Retail,A. Rao,Web,Qualification,120238,2025-03-05,2026-03-18,False,False,"Champion left the company, deal stalled."
OPP-1188,Acme Corp,NA,Retail,D. Patel,Event,Closed Won,118947,2025-03-27,2025-12-05,True,True,"Champion left the company, deal stalled."
OPP-1189,Atlas Corp,LATAM,Technology,A. Rao,Outbound,Closed Won,119998,2026-10-16,2025-01-18,True,True,"Renewal likely, happy with support."
OPP-1190,Meridian Labs,NA,Healthcare,B. Singh,Outbound,Negotiation,250858,2025-01-17,2026-03-04,False,False,"Renewal likely, happy with support."
OPP-1191,Orion Corp,NA,Finance,A. Rao,Web,Closed Lost,26929,2025-07-03,2026-08-19,True,False,Competitor Nimbus offered lower price.
OPP-1192,Meridian Corp,LATAM,Manufacturing,C. Mehta,Outbound,Proposal,5608,2025-09-16,2025-12-06,False,False,Competitor Nimbus offered lower price.
OPP-1193,Acme Industries,APAC,Retail,E. Shah,Web,Closed Lost,250835,2024-04-07,2026-05-02,True,False,"Budget approved, moving to procurement."
OPP-1194,Vertex Corp,NA,Retail,D. Patel,Outbound,Closed Lost,73590,2025-01-07,2026-02-10,True,False,Waiting on legal review of MSA.
OPP-1195,Summit Systems,EMEA,Technology,D. Patel,Referral,Proposal,120966,2026-03-26,2025-09-24,False,False,Competitor Nimbus offered lower price.
OPP-1196,Nova Group,LATAM,Healthcare,C. Mehta,Outbound,Proposal,249336,2026-10-13,2025-11-09,False,False,Price too high vs competitor Vega.
OPP-1197,Acme Industries,EMEA,Finance,B. Singh,Partner,Proposal,38351,2026-10-22,2026-04-23,False,False,"Budget approved, moving to procurement."
OPP-1198,Cobalt Group,APAC,Technology,B. Singh,Web,Closed Won,3021,2025-06-04,2026-08-12,True,True,"Budget approved, moving to procurement."
OPP-1199,Atlas Corp,EMEA,Retail,E. Shah,Event,Proposal,38423,2026-09-17,2025-02-12,False,False,Price too high vs competitor Vega.
OPP-1200,Vertex Corp,LATAM,Healthcare,B. Singh,Event,Prospecting,5968,2025-07-25,2025-10-17,False,False,"Renewal likely, happy with support."
OPP-1201,Acme Industries,APAC,Finance,B. Singh,Partner,Qualification,39130,2024-02-06,2026-05-16,False,False,Lost on missing SOC2 compliance.
OPP-1202,Summit Labs,LATAM,Retail,B. Singh,Event,Negotiation,39360,2024-05-01,2026-06-15,False,False,Waiting on legal review of MSA.
OPP-1203,Cobalt Systems,LATAM,Retail,B. Singh,Event,Closed Won,23727,2026-04-16,2026-06-10,True,True,Price too high vs competitor Vega.
OPP-1204,Atlas Corp,EMEA,Manufacturing,B. Singh,Partner,Qualification,73818,2025-06-04,2025-11-25,False,False,"Renewal likely, happy with support."
OPP-1205,Zenith Systems,NA,Manufacturing,D. Patel,Web,Closed Lost,38570,2024-07-22,2026-04-09,True,False,"Strong technical fit, exec sponsor engaged."
OPP-1206,Summit Group,EMEA,Technology,B. Singh,Event,Closed Lost,75075,2025-10-13,2026-09-02,True,False,"Budget approved, moving to procurement."
OPP-1207,Nova Systems,EMEA,Technology,A. Rao,Event,Closed Won,120649,2024-10-21,2026-06-26,True,True,Lost on missing SOC2 compliance.
OPP-1208,Nova Corp,LATAM,Retail,E. Shah,Referral,Negotiation,120356,2026-09-19,2025-08-12,False,False,Waiting on legal review of MSA.
OPP-1209,Cobalt Labs,NA,Finance,C. Mehta,Event,Closed Lost,41770,2025-02-10,2025-02-27,True,False,"Strong technical fit, exec sponsor engaged."
OPP-1210,Nova Group,APAC,Technology,C. Mehta,Web,Closed Won,38399,2026-08-12,2026-12-23,True,True,Competitor Nimbus offered lower price.
OPP-1211,Pinnacle Group,NA,Retail,B. Singh,Event,Prospecting,121277,2025-11-04,2025-12-08,False,False,Price too high vs competitor Vega.
OPP-1212,Cobalt Systems,NA,Manufacturing,E. Shah,Partner,Closed Lost,10763,2024-07-21,2026-07-01,True,False,Price too high vs competitor Vega.
OPP-1213,Pinnacle Industries,NA,Finance,C. Mehta,Referral,Prospecting,250882,2024-04-09,2025-10-04,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1214,Atlas Systems,EMEA,Finance,C. Mehta,Partner,Prospecting,119283,2026-08-17,2026-10-13,False,False,"Budget approved, moving to procurement."
OPP-1215,Orion Corp,APAC,Technology,B. Singh,Event,Closed Lost,73347,2026-05-20,2025-06-04,True,False,"Budget approved, moving to procurement."
OPP-1216,Zenith Corp,NA,Retail,B. Singh,Partner,Negotiation,74571,2025-10-05,2026-03-16,False,False,"Renewal likely, happy with support."
OPP-1217,Meridian Group,NA,Manufacturing,E. Shah,Outbound,Prospecting,6545,2025-08-20,2026-01-16,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1218,Atlas Labs,EMEA,Healthcare,C. Mehta,Web,Proposal,249818,2025-07-23,2026-03-03,False,False,"Renewal likely, happy with support."
OPP-1219,Meridian Systems,EMEA,Finance,E. Shah,Event,Qualification,40316,2025-03-25,2026-09-17,False,False,"Champion left the company, deal stalled."
OPP-1220,Acme Systems,LATAM,Finance,C. Mehta,Web,Closed Won,38419,2025-09-07,2025-05-28,True,True,"Strong technical fit, exec sponsor engaged."
OPP-1221,Zenith Corp,LATAM,Healthcare,E. Shah,Referral,Closed Lost,251021,2024-04-07,2026-12-20,True,False,Lost on missing SOC2 compliance.
OPP-1222,Orion Group,APAC,Retail,C. Mehta,Outbound,Closed Lost,74151,2024-10-12,2025-06-23,True,False,Competitor Nimbus offered lower price.
OPP-1223,Meridian Group,NA,Healthcare,C. Mehta,Referral,Prospecting,250686,2025-01-09,2025-12-28,False,False,Price too high vs competitor Vega.
OPP-1224,Zenith Corp,EMEA,Manufacturing,E. Shah,Event,Negotiation,119696,2026-11-09,2026-08-03,False,False,Waiting on legal review of MSA.
OPP-1225,Zenith Corp,APAC,Technology,E. Shah,Partner,Negotiation,6559,2025-06-19,2025-12-15,False,False,Lost on missing SOC2 compliance.
OPP-1226,Atlas Labs,NA,Retail,D. Patel,Event,Closed Lost,26392,2024-08-09,2026-06-18,True,False,"Champion left the company, deal stalled."
OPP-1227,Acme Corp,LATAM,Healthcare,B. Singh,Event,Prospecting,6806,2026-08-01,2025-08-15,False,False,"Budget approved, moving to procurement."
OPP-1228,Zenith Labs,NA,Technology,D. Patel,Event,Closed Lost,24025,2025-02-21,2025-06-22,True,False,Lost on missing SOC2 compliance.
OPP-1229,Atlas Systems,NA,Retail,D. Patel,Web,Proposal,3874,2024-12-04,2026-02-05,False,False,"Champion left the company, deal stalled."
OPP-1230,Meridian Corp,EMEA,Technology,C. Mehta,Event,Closed Won,11956,2024-07-23,2025-04-13,True,True,"Renewal likely, happy with support."
OPP-1231,Vertex Corp,LATAM,Finance,B. Singh,Referral,Prospecting,10280,2024-11-22,2025-10-21,False,False,Price too high vs competitor Vega.
OPP-1232,Summit Industries,APAC,Manufacturing,C. Mehta,Referral,Closed Won,3573,2025-04-03,2025-10-24,True,True,Lost on missing SOC2 compliance.
OPP-1233,Zenith Systems,APAC,Healthcare,E. Shah,Outbound,Qualification,75457,2024-04-18,2026-12-01,False,False,Lost on missing SOC2 compliance.
OPP-1234,Meridian Systems,NA,Manufacturing,E. Shah,Web,Closed Won,251677,2025-11-02,2025-08-13,True,True,"Champion left the company, deal stalled."
OPP-1235,Zenith Group,NA,Manufacturing,A. Rao,Web,Closed Lost,251436,2025-03-13,2026-06-18,True,False,Competitor Nimbus offered lower price.
OPP-1236,Pinnacle Systems,LATAM,Manufacturing,D. Patel,Web,Prospecting,249630,2024-01-02,2026-11-23,False,False,"Budget approved, moving to procurement."
OPP-1237,Nova Corp,EMEA,Finance,D. Patel,Referral,Qualification,13990,2025-02-17,2025-09-11,False,False,"Champion left the company, deal stalled."
OPP-1238,Cobalt Systems,NA,Technology,A. Rao,Referral,Qualification,75493,2025-02-15,2025-05-22,False,False,"Champion left the company, deal stalled."
OPP-1239,Meridian Group,APAC,Technology,A. Rao,Event,Qualification,251368,2025-09-17,2026-03-12,False,False,Price too high vs competitor Vega.
OPP-1240,Pinnacle Systems,APAC,Technology,D. Patel,Outbound,Qualification,75570,2024-05-23,2025-08-15,False,False,"Budget approved, moving to procurement."
OPP-1241,Pinnacle Systems,EMEA,Technology,A. Rao,Referral,Proposal,120960,2025-02-19,2025-04-24,False,False,"Champion left the company, deal stalled."
OPP-1242,Orion Corp,LATAM,Finance,C. Mehta,Web,Negotiation,248144,2025-03-06,2026-04-11,False,False,Waiting on legal review of MSA.
OPP-1243,Nova Industries,APAC,Finance,C. Mehta,Web,Prospecting,13294,2026-01-06,2025-07-03,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1244,Atlas Systems,LATAM,Healthcare,E. Shah,Referral,Prospecting,249244,2024-05-19,2025-08-12,False,False,"Budget approved, moving to procurement."
OPP-1245,Cobalt Group,LATAM,Finance,A. Rao,Referral,Prospecting,74418,2025-01-08,2025-06-01,False,False,Lost on missing SOC2 compliance.
OPP-1246,Pinnacle Group,LATAM,Finance,D. Patel,Web,Proposal,23381,2024-03-23,2025-04-28,False,False,Competitor Nimbus offered lower price.
OPP-1247,Meridian Group,NA,Finance,C. Mehta,Event,Negotiation,75325,2026-07-03,2025-07-22,False,False,Price too high vs competitor Vega.
OPP-1248,Meridian Group,EMEA,Healthcare,A. Rao,Referral,Closed Won,39113,2026-06-11,2025-02-07,True,True,"Strong technical fit, exec sponsor engaged."
OPP-1249,Nova Industries,APAC,Technology,A. Rao,Referral,Negotiation,26951,2025-02-18,2025-08-10,False,False,"Renewal likely, happy with support."
OPP-1250,Cobalt Corp,NA,Finance,D. Patel,Outbound,Closed Lost,13423,2026-10-02,2026-03-03,True,False,"Champion left the company, deal stalled."
OPP-1251,Atlas Corp,NA,Technology,D. Patel,Web,Closed Won,41500,2025-03-01,2026-09-24,True,True,"Budget approved, moving to procurement."
OPP-1252,Zenith Corp,EMEA,Retail,E. Shah,Event,Prospecting,13373,2024-04-05,2026-06-22,False,False,Competitor Nimbus offered lower price.
OPP-1253,Summit Labs,EMEA,Technology,D. Patel,Web,Prospecting,41314,2024-04-21,2025-02-28,False,False,"Budget approved, moving to procurement."
OPP-1254,Vertex Labs,APAC,Healthcare,B. Singh,Event,Closed Lost,38120,2025-12-13,2026-11-14,True,False,"Renewal likely, happy with support."
OPP-1255,Pinnacle Labs,LATAM,Retail,D. Patel,Web,Proposal,75527,2024-01-20,2025-11-10,False,False,Competitor Nimbus offered lower price.
OPP-1256,Pinnacle Industries,EMEA,Manufacturing,C. Mehta,Partner,Qualification,121623,2024-07-07,2025-11-26,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1257,Atlas Group,NA,Technology,C. Mehta,Web,Proposal,39107,2026-09-11,2025-01-11,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1258,Cobalt Systems,EMEA,Healthcare,E. Shah,Partner,Negotiation,4015,2026-04-06,2025-05-18,False,False,Waiting on legal review of MSA.
OPP-1259,Cobalt Corp,APAC,Retail,E. Shah,Referral,Closed Lost,74302,2024-03-08,2026-10-01,True,False,Lost on missing SOC2 compliance.
OPP-1260,Vertex Industries,NA,Technology,E. Shah,Partner,Closed Lost,12008,2025-09-10,2025-02-02,True,False,"Champion left the company, deal stalled."
OPP-1261,Acme Labs,NA,Retail,B. Singh,Web,Proposal,11395,2026-04-26,2025-06-02,False,False,Waiting on legal review of MSA.
OPP-1262,Summit Corp,NA,Healthcare,D. Patel,Partner,Closed Lost,40400,2025-12-22,2025-06-10,True,False,Waiting on legal review of MSA.
OPP-1263,Vertex Labs,LATAM,Finance,C. Mehta,Referral,Qualification,249461,2026-12-20,2025-11-19,False,False,"Budget approved, moving to procurement."
OPP-1264,Summit Corp,NA,Retail,A. Rao,Partner,Closed Won,251157,2026-10-13,2025-03-20,True,True,"Budget approved, moving to procurement."
OPP-1265,Zenith Corp,APAC,Manufacturing,A. Rao,Event,Proposal,23687,2024-04-12,2025-12-22,False,False,Lost on missing SOC2 compliance.
OPP-1266,Nova Group,LATAM,Healthcare,D. Patel,Partner,Qualification,248442,2024-06-09,2025-01-13,False,False,Price too high vs competitor Vega.
OPP-1267,Acme Industries,EMEA,Finance,A. Rao,Event,Proposal,41230,2025-02-27,2025-03-15,False,False,"Renewal likely, happy with support."
OPP-1268,Summit Labs,LATAM,Technology,D. Patel,Referral,Closed Lost,38659,2024-06-06,2025-09-03,True,False,Price too high vs competitor Vega.
OPP-1269,Orion Industries,NA,Technology,A. Rao,Partner,Qualification,11676,2024-06-07,2026-11-10,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1270,Acme Labs,NA,Healthcare,C. Mehta,Web,Qualification,4206,2025-01-14,2026-04-04,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1271,Pinnacle Industries,LATAM,Healthcare,C. Mehta,Partner,Closed Lost,41665,2025-07-16,2026-02-21,True,False,Waiting on legal review of MSA.
OPP-1272,Acme Group,NA,Technology,A. Rao,Event,Qualification,39078,2024-05-15,2025-05-19,False,False,Price too high vs competitor Vega.
OPP-1273,Pinnacle Industries,LATAM,Retail,B. Singh,Partner,Closed Lost,6443,2026-04-18,2026-09-14,True,False,"Renewal likely, happy with support."
OPP-1274,Nova Group,NA,Healthcare,B. Singh,Referral,Prospecting,76688,2026-01-17,2025-02-25,False,False,"Budget approved, moving to procurement."
OPP-1275,Summit Corp,EMEA,Technology,D. Patel,Outbound,Prospecting,13369,2024-11-14,2025-10-09,False,False,Price too high vs competitor Vega.
OPP-1276,Meridian Industries,NA,Retail,E. Shah,Outbound,Closed Won,248050,2025-09-15,2026-02-14,True,True,Competitor Nimbus offered lower price.
OPP-1277,Summit Industries,LATAM,Retail,E. Shah,Partner,Closed Lost,26553,2026-02-26,2026-07-09,True,False,"Champion left the company, deal stalled."
OPP-1278,Summit Labs,NA,Technology,D. Patel,Event,Qualification,75788,2025-03-20,2026-01-13,False,False,Waiting on legal review of MSA.
OPP-1279,Orion Industries,LATAM,Finance,C. Mehta,Partner,Prospecting,250013,2025-05-09,2025-04-05,False,False,Competitor Nimbus offered lower price.
OPP-1280,Vertex Corp,EMEA,Finance,E. Shah,Partner,Qualification,41110,2024-07-24,2026-01-17,False,False,"Budget approved, moving to procurement."
OPP-1281,Acme Systems,LATAM,Technology,C. Mehta,Referral,Closed Won,10789,2026-10-01,2025-01-08,True,True,"Renewal likely, happy with support."
OPP-1282,Orion Corp,APAC,Manufacturing,E. Shah,Partner,Proposal,121780,2025-09-13,2025-11-01,False,False,"Budget approved, moving to procurement."
OPP-1283,Zenith Industries,EMEA,Finance,A. Rao,Partner,Closed Lost,24410,2025-10-18,2025-05-24,True,False,"Champion left the company, deal stalled."
OPP-1284,Orion Systems,LATAM,Retail,A. Rao,Web,Qualification,12651,2026-04-28,2025-11-07,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1285,Orion Industries,APAC,Manufacturing,D. Patel,Event,Closed Lost,248034,2026-03-20,2025-05-20,True,False,"Strong technical fit, exec sponsor engaged."
OPP-1286,Acme Corp,APAC,Retail,E. Shah,Outbound,Qualification,76376,2025-05-22,2026-10-04,False,False,"Renewal likely, happy with support."
OPP-1287,Zenith Labs,APAC,Healthcare,B. Singh,Outbound,Qualification,24132,2024-08-03,2026-05-09,False,False,Lost on missing SOC2 compliance.
OPP-1288,Zenith Labs,LATAM,Finance,C. Mehta,Partner,Closed Lost,25788,2026-07-22,2025-12-01,True,False,Price too high vs competitor Vega.
OPP-1289,Cobalt Corp,NA,Retail,D. Patel,Event,Proposal,76342,2024-10-23,2025-06-24,False,False,"Renewal likely, happy with support."
OPP-1290,Orion Labs,NA,Finance,A. Rao,Referral,Closed Lost,23399,2026-09-06,2026-03-24,True,False,Waiting on legal review of MSA.
OPP-1291,Nova Industries,EMEA,Manufacturing,A. Rao,Outbound,Qualification,24522,2025-07-26,2026-10-10,False,False,Competitor Nimbus offered lower price.
OPP-1292,Nova Labs,EMEA,Healthcare,B. Singh,Referral,Negotiation,250788,2024-09-04,2026-09-10,False,False,Waiting on legal review of MSA.
OPP-1293,Summit Labs,NA,Finance,A. Rao,Web,Proposal,26532,2026-08-05,2025-02-16,False,False,"Strong technical fit, exec sponsor engaged."
OPP-1294,Nova Systems,LATAM,Manufacturing,D. Patel,Partner,Qualification,12005,2024-10-25,2025-03-20,False,False,Price too high vs competitor Vega.
OPP-1295,Pinnacle Group,NA,Technology,A. Rao,Referral,Prospecting,26891,2026-04-24,2025-06-25,False,False,Lost on missing SOC2 compliance.
OPP-1296,Acme Systems,APAC,Finance,D. Patel,Outbound,Closed Won,4571,2025-05-05,2026-03-03,True,True,Waiting on legal review of MSA.
OPP-1297,Nova Corp,EMEA,Healthcare,B. Singh,Referral,Proposal,39471,2026-03-11,2025-03-26,False,False,Lost on missing SOC2 compliance.
OPP-1298,Orion Labs,EMEA,Retail,A. Rao,Web,Closed Won,4501,2026-09-06,2025-07-21,True,True,"Champion left the company, deal stalled."
OPP-1299,Meridian Industries,NA,Technology,C. Mehta,Partner,Prospecting,38506,2024-07-15,2026-08-23,False,False,Competitor Nimbus offered lower price.
